epoch,benign_acc,benign_loss,poison_acc,poison_loss
1,10.23,2.3143256103515624,56.0546875,2.0891199111938477
2,9.81,2.3523206787109374,89.6484375,1.735938549041748
3,9.879999999999999,2.344195703125,95.703125,1.6718565225601196
4,10.02,2.3524643798828127,99.8046875,1.4812144041061401
5,10.03,2.3498175537109374,100.0,1.3876103162765503
6,10.15,2.323005615234375,99.8046875,1.4891278743743896
7,10.09,2.3696185302734376,99.8046875,1.2155976295471191
8,10.299999999999999,2.325004345703125,99.609375,1.3170452117919922
9,10.14,2.3425544189453125,100.0,1.1830353736877441
10,10.0,2.40871357421875,100.0,0.9818824529647827
11,10.76,2.2693689453125,97.4609375,1.3810043334960938
12,10.94,2.2645016357421874,99.21875,1.3187212944030762
13,11.700000000000001,2.2452792236328123,98.046875,1.3209788799285889
14,13.96,2.2102179931640626,91.2109375,1.5224649906158447
15,14.84,2.19483232421875,92.7734375,1.4235066175460815
16,17.25,2.155174755859375,85.546875,1.5953713655471802
17,16.38,2.193060791015625,92.7734375,1.28181791305542
18,17.599999999999998,2.1664202880859373,86.71875,1.4624301195144653
19,17.19,2.1622463134765626,81.8359375,1.6185450553894043
20,18.9,2.105445263671875,81.25,1.68827223777771
21,21.54,2.0723325439453126,64.84375,1.7365180253982544
22,22.17,2.0686773681640624,54.1015625,1.855018973350525
23,24.37,2.0476309448242187,41.6015625,1.968761682510376
24,24.959999999999997,2.0283118408203125,20.8984375,2.1296019554138184
25,26.369999999999997,2.027675830078125,5.46875,2.374403953552246
26,25.06,1.9925069580078125,16.2109375,2.277315139770508
27,26.72,1.9800489624023438,8.0078125,2.470109462738037
28,23.94,2.0619941040039063,9.9609375,2.385516881942749
29,22.89,2.0111578369140624,2.34375,2.671325922012329
30,25.7,1.9420697631835937,34.765625,2.149369716644287
31,24.34,1.9376552856445313,29.296875,2.2730469703674316
32,26.0,1.9180568115234375,8.0078125,2.591041088104248
33,28.68,1.8974177124023437,18.5546875,2.345337390899658
34,27.939999999999998,1.9119220825195313,8.984375,2.6219937801361084
35,28.77,1.8823094360351562,19.53125,2.417335033416748
36,30.080000000000002,1.8723945190429687,9.9609375,2.5544443130493164
37,27.48,1.8837971923828125,3.125,2.9959607124328613
38,27.96,1.8617301391601562,6.0546875,2.8709158897399902
39,26.150000000000002,1.866779541015625,7.8125,2.8737616539001465
40,34.13,1.8024934814453124,7.8125,2.8948187828063965
41,30.349999999999998,1.8234338745117187,4.296875,3.056988000869751
42,32.36,1.8435136840820312,2.734375,3.26295804977417
43,29.14,1.8855114868164062,0.0,3.6035327911376953
